id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
3.92038E+15,D8yflk9uW,1772259910,贰狗狗TDD,我叫白云我叫黑土,,海北·皇城蒙古族乡,,,0,2,2,2015/12/15 18:32,iPhone 5s,"https://ww2.sinaimg.cn/large/69a28a46jw1ez0itmoxduj20hs0hsq4s.jpg,https://ww2.sinaimg.cn/large/69a28a46jw1ez0itsblbej20hs0hsgnm.jpg,https://ww4.sinaimg.cn/large/69a28a46jw1ez0ity31qqj20hs0hstax.jpg",,,,黄V
4.08063E+15,ExPtnnT2a,5868389944,好東西聚樂部,#白云夫夫#少爷与白一为了生计在石立口做起了生意@王炳翔@易大千,,,"王炳翔,易大千",白云夫夫,2,31,41,2017/3/1 23:05,iPhone 6,https://wx4.sinaimg.cn/large/006p9aiIly1fd7ql0ko0hj30ku0kute3.jpg,,,,
4.08063E+15,ExPAuDpu9,1582731330,爱追剧的小腐,哈哈哈我叫白云我叫黑土,,,,,1,0,41,2017/3/1 23:23,美妞de魅族PRO 5,,,4.08063E+15,,红V
4.20959E+15,G41pxl5mN,1595679024,Coccxy,//@米晒哦姚CF-Z:？？？//@_车马很慢Icon:恍恍惚惚哈哈哈//@杨家东青:卧槽哈哈哈哈哈哈//@不是耳机:哈哈哈哈哈哈哈//@止于长白:哈哈哈哈哈哈//@小羚羊icon://@乌梅blackberry:我笑晕了//@书墨已成舟:哈哈哈哈哈哈哈哈我叫白云我叫黑土我71我75//@刚老师的掩人耳目:果然是在回顾历年春晚,,,"米晒哦姚CF-Z,_车马很慢Icon,杨家东青,不是耳机,止于长白,小羚羊icon,乌梅blackberry,书墨已成舟,刚老师的掩人耳目",,1,0,0,2018/2/20 19:48,iPhone 8 Plus,,,,,普通用户
4.29114E+15,GCf5A543A,3024331414,國老1947資深老油條,**備忘複製:*..{小視頻}..*(10.3.周三.國慶節假期.)(微信{審查})*...*@國老1947二窗口@國老1947三窗口@國老1947紫霞雲閣@國老1947五窗口@國老1947资深老油条@國老1947新七窗口@國老1947八窗口*.....*{}::八圈N{83}::七圈O{76}::二圈L{73}::五圈M{71}::三圈Q{66}::四上線核對[互粉]S組{休息}{100}::六圈{6*4休息}::{四全體}::{六全體}::{三全體}::{五?}..{}::[二558/631/73/]...[三545/611/66/]...[四238/休息338/100/]...[五310/381/71/]...[六741/805/6*4休息]...[七503/579/76/]...[八827/910/83/]...[合:]*我叫白雲我叫黑土L國老1947資深老油條的秒拍视频,,,"國老1947二窗口,國老1947三窗口,國老1947紫霞雲閣,國老1947五窗口,國老1947资深老油条,國老1947新七窗口,國老1947八窗口",,0,0,1,2018/10/3 21:08,微博视频,,"http://f.us.sinaimg.cn/004DvvuFlx07o7dP83wY01040200cIuu0k010.mp4?label=mp4_hd&template=368x640.28&ori=0&ps=1BVp4ysnknHVZu&Expires=1765402583&ssig=%2F0o4llOOxR&KID=unistore,video",,,普通用户
4.30925E+15,H3SHZiF6c,6774131741,千禧bot,698.1999年春晚小品赵本山宋丹丹崔永元《昨天今天明天》“白云黑土乐翻天”L电影主的秒拍视频,,,,,246,265,1552,2018/11/22 20:23,微博视频号,,"http://f.us.sinaimg.cn/0009FBJpgx07m6E2FX9e01040200pYJj0k010.mp4?label=mp4_hd&template=852x480.28&ori=0&ps=1BVp4ysnknHVZu&Expires=1765403189&ssig=C0DxB4gcZz&KID=unistore,video",,,
4.30927E+15,H3T7zginw,6557162253,倩倩每天都要努力-,我叫白云我叫黑土……我爸妈最喜欢的系列小品了，又想起来当年一家四口在一起看春晚了,,,,,0,0,1552,2018/11/22 21:26,OPPO R9,,,4.30925E+15,,普通用户
4.32655E+15,Hb8Bf2dWZ,2433692527,iShrokoen,可是真的好好笑,,,,,889,230,651,2019/1/9 13:42,??BikiPhone 7,,,,,
4.3266E+15,Hba0B6mqk,2750449247,导弹少年11,哈哈哈哈哈哈哈哈xtms我叫白云我叫黑土,,,,,0,0,651,2019/1/9 17:18,iPhone客户端,,,4.32655E+15,,普通用户
4.33571E+15,HeYY8BkCC,3788545970,白色洋牡丹,朱一龙超话哈哈哈哈哈哈哈哈哈哈哈我叫白云我叫黑土，我71我75。//@喪心病狂的毛毛Melly:朱一龙超话包子真是无敌了//@什么都吃a:哈哈哈哈白云黑土哈哈哈哈，，期待朱一龙,,,"喪心病狂的毛毛Melly,什么都吃a",,3,0,0,2019/2/3 20:33,,,,,,普通用户
4.34466E+15,HiJVzbsjR,5386979342,勿忘初心bang,"祝大叔大妈永远年轻,生活幸福!",,,,,1864,1053,4899,2019/2/28 13:36,云次方超话,"https://wx1.sinaimg.cn/large/005SzdpAly1g0m2nqduqoj30xc18enpd.jpg,https://wx3.sinaimg.cn/large/005SzdpAly1g0m2niwfx3j30xc18ehdt.jpg,https://wx1.sinaimg.cn/large/005SzdpAly1g0m2nozr6kj30xc18ehdt.jpg,https://wx4.sinaimg.cn/large/005SzdpAly1g0m2nrodrjj30xc18ehdt.jpg,https://wx2.sinaimg.cn/large/005SzdpAly1g0m2nkce79j30xc18ehdt.jpg,https://wx3.sinaimg.cn/large/005SzdpAly1g0m2nmd0iyj30xc18ehdt.jpg,https://wx4.sinaimg.cn/large/005SzdpAly1g0m2nnr36fj30xc18e7wh.jpg,https://wx4.sinaimg.cn/large/005SzdpAly1g0m2nhevuzj30xc18ekjl.jpg,https://wx4.sinaimg.cn/large/005SzdpAly1g0m2nfmdbaj30xc18ehdt.jpg",,,,
4.35639E+15,HnEQ7Ea9Q,7011339341,暗藏玄鸡腿,我叫白云我叫黑土,,,,,0,0,4899,2019/4/1 21:51,荣耀8 美得与众不同,,,4.34466E+15,,普通用户
