id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5.00463E+15,O1WpgnitT,1939001922,NGO陈晓波,【尼格买提回到新疆过年，家里富丽堂皇的，妹妹比迪丽热巴还漂亮】在春节联欢晚会上，尼格买提与著名魔术师刘谦合作呈现的一段精彩魔术表演，因一个小小的失误而意外成为了话题焦点。这一年，央视...O尼格买提回到新疆过年，家里富丽堂皇的，妹妹比迪丽热巴还漂亮来自@凤凰新闻客户端,,,凤凰新闻客户端,,1,0,1,2024/2/23 17:17,凤凰新闻,https://wx1.sinaimg.cn/large/7392d242ly1hn3ir0p3j2j20hs0bu0tp.jpg,,,,黄V
5.00E+15,O0j2W4dDk,7447384318,遥遥要耀耀,#白敬亭魏大勋魏晨采访#白敬亭占春山卖六百多一件的衣服却质检不合格粉丝把拉黑删评饭圈那一套搞到春晚的讨论上来路人评论随意删除小聪明用错地方。紧张所以失误有什么不能承认的吗？尼格买提在魔术上也失误了敞开了说大家哈哈一乐了事只能说白敬亭格局真的小,,,,白敬亭魏大勋魏晨采访,0,1,0,2024/2/12 23:15,微博轻享版,,,,,普通用户
5.00073E+15,O0iS51VuE,7403207838,莫叽默迹,当本尊与官方互动玩起梗来，真的就没别人什么事了么？小尼发文问说（春晚）还要重播几次，央视文艺神回复“再播亿遍”！这种“官方认证”可以笑好久！皮一下果然很开心！尼格买提因为在央视春晚中，作为刘谦变魔术环节的助理，居然“翻车”了，相关画面被各种剪辑反复播放。同事撒贝宁不仅当场“现挂”提到小尼，还有后台拿着失误的牌合照的，网友们看完照片还发出灵魂拷问：“小尼的笑容怎么消失了？”笑容不会消失，只是会转移，可以想象大家笑得很大声，毕竟撒老师那笑容，也是相当欢乐的。看到小尼发文IP是新疆，网友们调侃说这是连夜“出逃”回老家，但是小尼他忘了，亲朋好友可能会拉着他一起观赏春晚以及相关剪辑，那才是真·大型社死现场。工作结束赶回家陪亲人是挺正常的行为，但是看到这个主角是尼格买提的时候，莫名有种喜感。毕竟“魔术失误”已经占了热搜好几天了。小尼之后还发文：“大概还要重播几次，我就问问”并艾特央视文艺和春晚两个官微，结果央视文艺回复说“再播亿遍”。可以感觉到大家的笑声更大了，毕竟这种“官方认证”还是很少见的。还有热心网友让大家“看图猜人名”；还有网友说这可以是验证国人身份的新型“接头暗号”。甚至还有不少网友说，自己刚好遇上低谷期或其他糟心事，结果想到有小尼的“魔术失误”垫底，又感觉好多了。给熊猫留点口粮吧！不过金主爸爸应该挺开心的，五粮液绝对赢麻了。总之，只有小尼“受伤”的世界达成了！#尼格买提回新疆陪爸妈了##尼格买提穿帮##春晚#PS.图片来源于网络，侵权请联系删除。,,,,"尼格买提回新疆陪爸妈了,尼格买提穿帮,春晚",1,0,6,2024/2/12 22:48,荣耀30 Pro+ 5G,"https://wx3.sinaimg.cn/large/008516y2gy1hmr2hpf0rcj30u0180dku.jpg,https://wx1.sinaimg.cn/large/008516y2gy1hmr2hpt3fkj30u01e6gpn.jpg,https://wx3.sinaimg.cn/large/008516y2gy1hmr2hqcqwaj30qo0z00vz.jpg,https://wx1.sinaimg.cn/large/008516y2gy1hmr2hqrmmzj30k00zsgnx.jpg,https://wx3.sinaimg.cn/large/008516y2gy1hmr2hrah12j30u01d8tbw.jpg,https://wx4.sinaimg.cn/large/008516y2gy1hmr2hrnxbnj30my0sgwhd.jpg",,,,普通用户
5.00E+15,O0iPEeeAB,2560432091,财经评论,#央视回应小尼问春晚还要重播几次#【小尼问春晚还要重播几次？央视文艺留言：再播亿遍】据红星新闻主持人尼格买提（小尼）在春晚舞台上参与魔术，但没能将扑克牌对上，撒贝宁称他是“全国唯一一个（没对上）”，网友笑说，他的这一失误“承包了一年的笑点”。小尼在大年初一发了一条微博：“碎碎平安，我先碎了。”大年初三，随着“小尼的失误被警方当成典型案例了”“尼格买提回新疆陪爸妈了”等词条登上热搜，小尼再发微博，向央视文艺和春晚提问：“（春晚）大概还要重播几次？我就问问。”央视文艺在他的这条微博下回应道：“再播亿遍”。有网友在评论区问：“哥你为什么不笑啊，是生性就不爱笑吗？”小尼回应称：“对，三天没笑过了。”有网友继续调侃，说“他急了他急了他急了”，小尼又在评论区回复，称自己“很卑微”。最值得一笑的还是尼格买提的新疆老乡、说唱歌手艾热。他跑到小尼的这条微博并留下“哈哈哈哈哈哈”一串大笑，急眼了的小尼回复：“你名字更长。”艾热乘胜追击，“但我画面少，多放几遍吧还是。”网友被小尼的微博逗乐，纷纷留下一长串的“哈哈哈哈哈”，表示自己“已经笑了三天了”，还有人建议“重播到下一次春晚开始播”。#尼格买提说自己三天没笑过了#,,,,"央视回应小尼问春晚还要重播几次,尼格买提说自己三天没笑过了",0,0,5,2024/2/12 22:42,微博发布平台专业版,"https://wx1.sinaimg.cn/large/989d17dbly8hmr23bpn4lj20j10mmq4d.jpg,https://wx2.sinaimg.cn/large/989d17dbly8hmr23bo6y4j20hf01fa9y.jpg",,,,蓝V
5.00E+15,O0iPE6xRX,2925141777,全球新闻眼,#央视回应小尼问春晚还要重播几次#【小尼问春晚还要重播几次？央视文艺留言：再播亿遍】据红星新闻主持人尼格买提（小尼）在春晚舞台上参与魔术，但没能将扑克牌对上，撒贝宁称他是“全国唯一一个（没对上）”，网友笑说，他的这一失误“承包了一年的笑点”。小尼在大年初一发了一条微博：“碎碎平安，我先碎了。”大年初三，随着“小尼的失误被警方当成典型案例了”“尼格买提回新疆陪爸妈了”等词条登上热搜，小尼再发微博，向央视文艺和春晚提问：“（春晚）大概还要重播几次？我就问问。”央视文艺在他的这条微博下回应道：“再播亿遍”。有网友在评论区问：“哥你为什么不笑啊，是生性就不爱笑吗？”小尼回应称：“对，三天没笑过了。”有网友继续调侃，说“他急了他急了他急了”，小尼又在评论区回复，称自己“很卑微”。最值得一笑的还是尼格买提的新疆老乡、说唱歌手艾热。他跑到小尼的这条微博并留下“哈哈哈哈哈哈”一串大笑，急眼了的小尼回复：“你名字更长。”艾热乘胜追击，“但我画面少，多放几遍吧还是。”网友被小尼的微博逗乐，纷纷留下一长串的“哈哈哈哈哈”，表示自己“已经笑了三天了”，还有人建议“重播到下一次春晚开始播”。#尼格买提说自己三天没笑过了#,,,,"央视回应小尼问春晚还要重播几次,尼格买提说自己三天没笑过了",0,0,1,2024/2/12 22:42,微博发布平台专业版,"https://wx1.sinaimg.cn/large/ae5a1f11ly8hmr23bp45xj20j10mmabj.jpg,https://wx3.sinaimg.cn/large/ae5a1f11ly8hmr23bltm4j20hf01f0sn.jpg",,,,普通用户
5.00E+15,O0iPEkPug,2780457263,你能不能多见见世面,#央视回应小尼问春晚还要重播几次#【小尼问春晚还要重播几次？央视文艺留言：再播亿遍】据红星新闻主持人尼格买提（小尼）在春晚舞台上参与魔术，但没能将扑克牌对上，撒贝宁称他是“全国唯一一个（没对上）”，网友笑说，他的这一失误“承包了一年的笑点”。小尼在大年初一发了一条微博：“碎碎平安，我先碎了。”大年初三，随着“小尼的失误被警方当成典型案例了”“尼格买提回新疆陪爸妈了”等词条登上热搜，小尼再发微博，向央视文艺和春晚提问：“（春晚）大概还要重播几次？我就问问。”央视文艺在他的这条微博下回应道：“再播亿遍”。有网友在评论区问：“哥你为什么不笑啊，是生性就不爱笑吗？”小尼回应称：“对，三天没笑过了。”有网友继续调侃，说“他急了他急了他急了”，小尼又在评论区回复，称自己“很卑微”。最值得一笑的还是尼格买提的新疆老乡、说唱歌手艾热。他跑到小尼的这条微博并留下“哈哈哈哈哈哈”一串大笑，急眼了的小尼回复：“你名字更长。”艾热乘胜追击，“但我画面少，多放几遍吧还是。”网友被小尼的微博逗乐，纷纷留下一长串的“哈哈哈哈哈”，表示自己“已经笑了三天了”，还有人建议“重播到下一次春晚开始播”。#尼格买提说自己三天没笑过了#,,,,"央视回应小尼问春晚还要重播几次,尼格买提说自己三天没笑过了",0,0,0,2024/2/12 22:42,微博发布平台专业版,"https://wx2.sinaimg.cn/large/0032avWTly8hmr23br1p1j60j10mm40602.jpg,https://wx4.sinaimg.cn/large/0032avWTly8hmr23blwrwj60hf01fq2u02.jpg",,,,黄V
5.00E+15,O0iPE29q9,5681478953,明日头条,#央视回应小尼问春晚还要重播几次#【小尼问春晚还要重播几次？央视文艺留言：再播亿遍】据红星新闻主持人尼格买提（小尼）在春晚舞台上参与魔术，但没能将扑克牌对上，撒贝宁称他是“全国唯一一个（没对上）”，网友笑说，他的这一失误“承包了一年的笑点”。小尼在大年初一发了一条微博：“碎碎平安，我先碎了。”大年初三，随着“小尼的失误被警方当成典型案例了”“尼格买提回新疆陪爸妈了”等词条登上热搜，小尼再发微博，向央视文艺和春晚提问：“（春晚）大概还要重播几次？我就问问。”央视文艺在他的这条微博下回应道：“再播亿遍”。有网友在评论区问：“哥你为什么不笑啊，是生性就不爱笑吗？”小尼回应称：“对，三天没笑过了。”有网友继续调侃，说“他急了他急了他急了”，小尼又在评论区回复，称自己“很卑微”。最值得一笑的还是尼格买提的新疆老乡、说唱歌手艾热。他跑到小尼的这条微博并留下“哈哈哈哈哈哈”一串大笑，急眼了的小尼回复：“你名字更长。”艾热乘胜追击，“但我画面少，多放几遍吧还是。”网友被小尼的微博逗乐，纷纷留下一长串的“哈哈哈哈哈”，表示自己“已经笑了三天了”，还有人建议“重播到下一次春晚开始播”。#尼格买提说自己三天没笑过了#,,,,"央视回应小尼问春晚还要重播几次,尼格买提说自己三天没笑过了",0,0,0,2024/2/12 22:42,微博发布平台专业版,"https://wx1.sinaimg.cn/large/006cuUdjly8hmr23bpqadj60j10mmgn802.jpg,https://wx2.sinaimg.cn/large/006cuUdjly8hmr23bltm4j60hf01fa9y02.jpg",,,,蓝V
5.00E+15,O0iKyqP90,1988524335,种草星球日记簿,#央视回应小尼问春晚还要重播几次#【小尼问春晚还要重播几次？央视文艺留言：再播亿遍】据红星新闻主持人尼格买提（小尼）在春晚舞台上参与魔术，但没能将扑克牌对上，撒贝宁称他是“全国唯一一个（没对上）”，网友笑说，他的这一失误“承包了一年的笑点”。小尼在大年初一发了一条微博：“碎碎平安，我先碎了。”大年初三，随着“小尼的失误被警方当成典型案例了”“尼格买提回新疆陪爸妈了”等词条登上热搜，小尼再发微博，向央视文艺和春晚提问：“（春晚）大概还要重播几次？我就问问。”央视文艺在他的这条微博下回应道：“再播亿遍”。有网友在评论区问：“哥你为什么不笑啊，是生性就不爱笑吗？”小尼回应称：“对，三天没笑过了。”有网友继续调侃，说“他急了他急了他急了”，小尼又在评论区回复，称自己“很卑微”。最值得一笑的还是尼格买提的新疆老乡、说唱歌手艾热。他跑到小尼的这条微博并留下“哈哈哈哈哈哈”一串大笑，急眼了的小尼回复：“你名字更长。”艾热乘胜追击，“但我画面少，多放几遍吧还是。”网友被小尼的微博逗乐，纷纷留下一长串的“哈哈哈哈哈”，表示自己“已经笑了三天了”，还有人建议“重播到下一次春晚开始播”。#尼格买提说自己三天没笑过了#,,,,"央视回应小尼问春晚还要重播几次,尼格买提说自己三天没笑过了",0,0,3,2024/2/12 22:30,微博发布平台专业版,"https://wx4.sinaimg.cn/large/002azE19ly8hmr1wmadedj60j10mmdhh02.jpg,https://wx1.sinaimg.cn/large/002azE19ly8hmr1wl4z70j60hf01fjra02.jpg,https://wx1.sinaimg.cn/large/002azE19ly8hmr1wld9uej60j60k0wfo02.jpg,https://wx2.sinaimg.cn/large/002azE19ly8hmr1wl8vjcj60hi032mx602.jpg",,,,黄V
5.00E+15,O09A0onVM,2729543237,时光豆瓣,#新春茶话会#春晚唯一笑点回顾！尼格买提魔术穿帮，第一次看到他不知所措，大家都成功了吗？#春晚为什么8点开始##春晚出图#L时光豆瓣的微博视频,,,,"新春茶话会,春晚为什么8点开始,春晚出图",589,204,211,2024/2/11 23:09,春晚超话,,"http://f.video.weibocdn.com/o0/9Bz5X34xlx08csN9r8uA01041200GpBW0E010.mp4?label=mp4_720p&template=1332x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766992695&ssig=4Yd4iTHa5Q&KID=unistore,video",,,普通用户
5.00E+15,O09pohtrz,7779114976,玽鲤,属实难忘！尼格买提的魔术失败，以及撒贝宁的现挂，是今年春晚最大的记忆点。尼格买提回应自己牌没对上，说，当时把牌掏出来看了一眼，完了，发现没对上，这个时候他有点慌了，但还在强装镇定。他想，正面对不上，反面应该能对上吧。他偷偷看了一下反面，发现反面也对不上！这下是真慌了，他偷偷往刘谦身后躲，不敢在镜头面前展示自己的牌面。按照彩排的内容，他等一下要走到撒贝宁身边，要在全国观众面前展示自己对上了的牌面。目前的状况肯定不能按照彩排的时候来，他把牌揣自己兜里，撒贝宁一看这应该是出状况了，就跳过了展示尼格买提牌面的步骤。后来两人回到台下跟春晚导演一合计，撒贝宁觉得可以直接来个现挂，自己玩梗更有戏剧性，春晚导演也同意了。所以就有了下一幕撒贝宁在台上说：“我听说，刚才的魔术，小尼的扑克牌没对上！”这个现挂让网友们给了满分，真的感慨：“撒贝宁主持水平是真的高！”不过，这样的小插曲反而让这个春晚变得更加真实生动。不出意外地这个小插曲成为了网友们印象最深的春晚节目。小尼当时估计也是太紧张了，完全没有发现后面的曾舜晞也没有对上扑克牌。曾舜晞虽然回应自己对上了，但网友们可不买账：看你表情不像对上的样子啊！,,,,,2,21,24,2024/2/11 22:43,,"https://wx2.sinaimg.cn/large/008usnaoly1hmpwp5c6kgj30qo0ukq5s.jpg,https://wx3.sinaimg.cn/large/008usnaoly1hmpwp5ooxyj30qo0ubju9.jpg,https://wx4.sinaimg.cn/large/008usnaoly1hmpwp5yk8dj30qo0uegoe.jpg",,,,金V
