id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5.2492E+15,QkDQJir1a,7460054096,大英子啊啊,眼睛一闭一睁一天过去了,,,,,0,0,0,2025/12/29 14:27,荣耀90 Pro 写真相机,,,,,普通用户
5.2482E+15,QkdNrmRSH,1708353783,水中氧气G,今天还是很开心，毕竟挣钱了，但是还是克制不住，少挣了的懊恼。等吧，机会还是有的，有收获就行，心态还得磨炼，有进步了，加油！天一黑就是眼睛一闭一睁，一天过去了，嚎～～,,,,,0,0,0,2025/12/26 20:08,iPhone客户端,,,,,普通用户
5.24809E+15,Qkb3AwvTD,5687793930,顺风顺水大富婆,眼睛一闭一睁一天就过去了,,,,,0,1,1,2025/12/26 13:09,iPhone客户端,"https://wx1.sinaimg.cn/large/006cVp1Mly1i8o7sm8g37j30u1141wpe.jpg,https://wx4.sinaimg.cn/large/006cVp1Mly1i8o7sn4y7hj30u01hcami.jpg,https://wx2.sinaimg.cn/large/006cVp1Mly1i8o7sodnxxj30u01hcqd1.jpg,https://wx1.sinaimg.cn/large/006cVp1Mly1i8o7spfaoij30u01hch0h.jpg,https://wx3.sinaimg.cn/large/006cVp1Mly1i8o7t32sb8j30u01hd47r.jpg,https://wx4.sinaimg.cn/large/006cVp1Mly1i8o7sr8khgj30u01hdwwq.jpg,https://wx4.sinaimg.cn/large/006cVp1Mly1i8o7suina8j30u01hcnap.jpg,https://wx3.sinaimg.cn/large/006cVp1Mly1i8o7uaq3aij30u01hc18f.jpg,https://wx4.sinaimg.cn/large/006cVp1Mly1i8o7z50x5mj310o0kmjub.jpg",,,,普通用户
5.24745E+15,QjUkitkaR,6388365399,侯亲斤白水197808,人的生命真的很脆弱，小沈阳说的话人眼睛一闭一睁一天过去了，眼睛一闭不睁一辈子过去了，老街坊邻居，杨生儿，侯太山，侯喜弟多好的一个人，说没就没了，70多岁.像小老伍97岁，侯永中，侯述天都快90多了，还没事，老天爷太不公平，差20年这就是命，这么小的年龄让70后这么小就没有了父亲，老天爷有也不睁眼看看，……,,,,,0,1,0,2025/12/24 18:34,OPPO A11x,,,,,普通用户
5.24722E+15,QjOqhgojh,5204380349,亮片伞伞,久违的打开朋友圈看了看，结果一页屏幕总共3人更新两个要跳楼，宝子们都别熬夜早点睡眼睛一闭一睁一天就过去了好吗,,,,,0,1,0,2025/12/24 3:32,华为畅享 70 Pro,,,,,黄V
5.24675E+15,QjC8H8rrr,1682627082,苏和凡猫,十二月第三周。昨天晚上九点多就睡了，日记也忘记写了。妹妹最近魔尺玩得很溜，又学会了新造型。哥哥的大门牙已经长一半了，要嘛很慢，要嘛一眨眼就一半了。周四，单位要求献血，由于报名参加人数太少了。就要求大家全部到场，不想献也要和医护人员说明情况。回来路上，特地跑南门市场那边去买海蛎，有个阿姨卖的现撬海蛎很肥美。周五，等舅舅回来，一起去吃了披萨，小朋友们也觉得披萨味道不错，隔段时间就会想吃一次，必胜客太贵了，又吃不完。转而去吃芝根芝底，物美价廉。周六，哥哥上完英语课，一起回外婆家，晚上外婆煮了大餐，邀请了大舅公和建成舅舅过来，哥哥真的好喜欢大舅公，一回来就想找他，一起安静坐着看电视，他也喜欢。周日，外婆他们去扫墓，我们在家玩新玩具——迷你冰壶。母子三人一起轮番上阵比赛，不亦乐乎。下午坐舅舅车回家，叫上达令一家过来一起吃火锅，开心。2025年就剩最后9天了，时间真的好快呀。自己小时候觉得时间好慢，现在有了孩子，觉得每天时间都不够用，真的是眼睛一闭一睁，一天就过去了。,,,,,0,0,0,2025/12/22 20:16,vivo X200,"https://wx1.sinaimg.cn/large/644ada0agy1i8jxhc5zefj22dc35sx6v.jpg,https://wx4.sinaimg.cn/large/644ada0agy1i8jxhec4u4j22dc35snpg.jpg,https://wx4.sinaimg.cn/large/644ada0agy1i8jxhg38z1j235s2dchdv.jpg,https://wx2.sinaimg.cn/large/644ada0agy1i8jxhiiczjj22d035ce82.jpg,https://wx1.sinaimg.cn/large/644ada0agy1i8jxhk8c05j22dc35sb2a.jpg,https://wx2.sinaimg.cn/large/644ada0agy1i8jxhllrxmj22dc35s7wh.jpg,https://wx4.sinaimg.cn/large/644ada0agy1i8jxhots9yj22dc35se84.jpg,https://wx4.sinaimg.cn/large/644ada0agy1i8jxhrebsgj22dc35shdu.jpg,https://wx2.sinaimg.cn/large/644ada0agy1i8jxhtqqitj22dc35sb2a.jpg",,,,普通用户
5.24641E+15,QjtoCdwOS,6169810599,特功队997,眼睛一闭一睁，一天就过去了,,,,,0,0,0,2025/12/21 22:00,iQOO Z5 性能先锋,,,,,普通用户
5.24595E+15,QjhpmgzpG,7598423077,纯情小刘鸭火辣辣,眼睛一闭一睁一天就过去了,,,,,0,0,0,2025/12/20 15:29,iPhone客户端,,,,,普通用户
5.24574E+15,QjbOfx3wm,3284910930,唔食咖喱嘅兔仔,前几天睡着了做梦都梦见春晚这档子事老说春晚征求观众意见我提的建议就是不要教育居高临下的提什么教育意义当牛做马一整年了好不容易过年了休息一下还要被教育天龙人喜欢把自己摆在高位老喜欢对底下人说教是吧？在全国本应该最欢乐的一晚上还要搁那儿摆谱大谈教育了意义了真烦以前看春晚看赵本山就是纯乐呵一大家子一起看小品然后开怀大笑最开心了现在不是教育这个就是教育那个充斥一堆网络烂梗演着演着还要虚伪的落几滴泪恶不恶心再说了以前那是春晚上啥梗那后面那个梗就火了比如“眼睛一闭一睁一天过去了眼睛一闭不睁一辈子过去了”我都记到现在了现在全是一堆已经被人说烂的梗堆砌在一起组成的小品相声真没意思#春晚##春晚征求意见#,,,,"春晚,春晚征求意见",0,0,0,2025/12/20 1:14,iPhone 16 Pro Max,,,,,普通用户
5.24569E+15,QjaBXCweI,6467389674,芝士ni拌饭,我去nmd明天又是下午1.连续干到晚上9.什么时候退休还我双休.......服气了能不能喘口气今天好不容易休息一天感觉眼睛一闭一睁一秒就过去了去nmd我要创飞整个世界..........,,,,,0,0,0,2025/12/19 22:11,荣耀Magic4,,,,,普通用户
